SourceFile,BlueMatrixColumn,BlueTRC,CMMFlags,ColorSpaceData,ConnectionSpaceIlluminant,CreateDate,Creator,CreatorTool,DerivedFromDocumentID,DerivedFromInstanceID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,DeviceAttributes,DeviceManufacturer,DeviceMfgDesc,DeviceModel,DeviceModelDesc,Directory,DocumentID,Error,ExifToolVersion,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Format,GreenMatrixColumn,GreenTRC,HasXFA,HistoryAction,HistoryChanged,HistoryParameters,HistorySoftwareAgent,HistoryWhen,InstanceID,Language,Linearized,Luminance,MeasurementBacking,MeasurementFlare,MeasurementGeometry,MeasurementIlluminant,MeasurementObserver,MediaBlackPoint,MediaWhitePoint,MetadataDate,MIMEType,ModifyDate,OriginalDocumentID,PageCount,PDFVersion,PrimaryPlatform,Producer,ProfileClass,ProfileCMMType,ProfileConnectionSpace,ProfileCopyright,ProfileCreator,ProfileDateTime,ProfileDescription,ProfileFileSignature,ProfileID,ProfileVersion,RedMatrixColumn,RedTRC,RenderingIntent,RenditionClass,TaggedPDF,Technology,Trapped,ViewingCondDesc,ViewingCondIlluminant,ViewingCondIlluminantType,ViewingCondSurround,XMPToolkit
396596-flyer.pdf,,,,,,2022:06:09 11:56:02-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:27-04:00,2024:04:17 16:57:27-04:00,2024:04:17 16:57:27-04:00,396596-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2022:06:09 11:56:02-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
399054-flyer.pdf,,,,,,2022:07:18 10:48:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:03-04:00,2024:04:17 16:57:03-04:00,2024:04:17 16:57:03-04:00,399054-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2022:07:18 10:48:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
399461-flyer.pdf,,,,,,2022:07:24 18:48:02-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:06-04:00,2024:04:17 16:57:06-04:00,2024:04:17 16:57:06-04:00,399461-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2022:07:24 18:48:02-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
400987-flyer.pdf,,,,,,2022:08:01 13:12:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:10-04:00,2024:04:17 16:57:10-04:00,2024:04:17 16:57:10-04:00,400987-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2022:08:01 13:12:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
405643_027_BMK_WEB.pdf,,,,,,,,,,,,,,,,,,.,,File is empty,12.70,2024:04:17 16:52:26-04:00,2024:04:17 16:52:26-04:00,2024:04:17 16:52:26-04:00,405643_027_BMK_WEB.pdf,-rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408056-flyer.pdf,,,,,,2022:09:01 22:16:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:23-04:00,2024:04:17 16:57:24-04:00,2024:04:17 16:57:24-04:00,408056-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2022:09:01 22:16:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
430723-flyer.pdf,,,,,,2023:01:17 16:04:05-07:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:13-04:00,2024:04:17 16:57:13-04:00,2024:04:17 16:57:13-04:00,430723-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2023:01:17 16:04:05-07:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
432948-flyer.pdf,,,,,,2023:01:26 07:20:03-07:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:17-04:00,2024:04:17 16:57:17-04:00,2024:04:17 16:57:17-04:00,432948-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2023:01:26 07:20:03-07:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
438932-flyer.pdf,,,,,,2023:04:15 06:44:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:15-04:00,2024:04:17 16:57:16-04:00,2024:04:17 16:57:16-04:00,438932-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2023:04:15 06:44:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
445356-flyer.pdf,,,,,,2023:07:20 07:28:05-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:56:56-04:00,2024:04:17 16:56:56-04:00,2024:04:17 16:56:56-04:00,445356-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2023:07:20 07:28:05-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
447142-flyer.pdf,,,,,,2023:08:09 11:12:03-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:28-04:00,2024:04:17 16:57:29-04:00,2024:04:17 16:57:29-04:00,447142-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2023:08:09 11:12:03-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
447271-flyer.pdf,,,,,,2023:07:28 08:24:06-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:21-04:00,2024:04:17 16:57:21-04:00,2024:04:17 16:57:21-04:00,447271-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2023:07:28 08:24:06-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
467987-flyer.pdf,,,,,,2023:10:26 17:08:09-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:39-04:00,2024:04:17 16:57:40-04:00,2024:04:17 16:57:40-04:00,467987-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2023:10:26 17:08:09-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
471397-flyer.pdf,,,,,,2023:11:13 17:08:10-07:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:35-04:00,2024:04:17 16:57:35-04:00,2024:04:17 16:57:35-04:00,471397-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2023:11:13 17:08:10-07:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
475288-flyer.pdf,,,,,,2024:04:10 14:24:02-06:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:46-04:00,2024:04:17 16:57:46-04:00,2024:04:17 16:57:46-04:00,475288-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2024:04:10 14:24:02-06:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
487233-flyer.pdf,,,,,,2024:02:16 14:20:21-07:00,,,,,,,,,,,,.,,,12.70,2024:04:17 16:57:25-04:00,2024:04:17 16:57:26-04:00,2024:04:17 16:57:26-04:00,487233-flyer.pdf,-rw-r--r--,405 kB,PDF,pdf,,,,,,,,,,,,No,,,,,,,,,,application/pdf,2024:02:16 14:20:21-07:00,,1,1.3,,dompdf <75f13c70> + CPDF,,,,,,,,,,,,,,,,,,,,,,
A08.03b+Director+Code+of+Conduct.pdf,,,,,,,,,,,,,,,,,,.,,File is empty,12.70,2024:04:17 16:52:40-04:00,2024:04:17 16:52:40-04:00,2024:04:17 16:52:40-04:00,A08.03b+Director+Code+of+Conduct.pdf,-rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amended+and+Restated+Bylaws+%28May+18%2C+2021%29.pdf,,,,,,,,,,,,,,,,,,.,,File is empty,12.70,2024:04:17 16:57:50-04:00,2024:04:17 16:57:50-04:00,2024:04:17 16:57:50-04:00,Amended+and+Restated+Bylaws+%28May+18%2C+2021%29.pdf,-rw-r--r--,0 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
